MikkelRavn	2	1	-0.8739
JohnBlood	1	1	0.6124
billdow00	8	59	-0.00480338983051
OGgangster	2	2	0.22545
macredsmile	1	1	0.0
mandivether	5	4	-0.089875
jrsmith4546	1	2	0.8169
laura	1	1	-0.9585
Elathen	2	2	-0.46045
Crossposted	3	2	-0.7297
FairEnough	3	1	0.4019
Fantonald	3	19	-0.0757947368421
lucitribal	9	2	0.83555
eric1_z	8	1	0.9118
sofiamansi01	1	1	0.2023
captainfez	9	3	0.9374
lakhan	1	1	0.0
ijmprop	1	1	0.0
FairEnough	7	1	0.7901
bsouly	1	3	0.0
gabriel_swee_7	7	56	-0.0370875
MikeIsBored	2	1	0.7717
insomnia	8	2	0.4436
mrian	1	1	-0.967
HeroOfCanton	13	1	0.7825
EmberBreeze	9	2	0.96165
FairEnough	10	3	0.869966666667
bettyandrews	1	1	0.743
Crossposted	21	27	0.247907407407
MwareSolutions	1	1	0.8481
Claire	7	4	-0.21685
olivier	1	2	0.312
NULL	7	1	0.0324
dgtronic	1	1	0.0
199creative	1	1	0.4404
entertainer	1	3	0.0384
sofiank4224	1	1	0.9371
Newsdialyext	1	1	0.6908
hjames88	1	1	0.0
mattsimons	1	1	-0.8807
Mark_ChainBerg	1	2	0.8937
denileopete	1	1	0.25
Kr1ll1n	4	1	-0.3899
MarissaWalters	1	1	-0.2732
LiberalGuy	8	13	0.338984615385
Conception	1	1	0.0
Chipped	4	1	0.0
MikeIsBored	1	3	0.464666666667
Derpetologist	11	2	0.0
itzBolt	15	50	0.025492
patrickguilhemm	1	8	-0.042275
Citrogenen	10	2	0.8207
priapus	3	1	0.0
joaopcribeiro	1	1	0.0
Citrogenen	15	18	0.27625
ewwaus	1	2	0.41395
Crossposted	5	7	0.1168
Musekyto	2	1	0.8885
CautiousNarwhal	2	1	0.5994
TomFoster	1	1	0.6761
xgreenknight	1	1	-0.2755
TheMoviest	6	3	0.0
eric1_z	14	12	0.0620166666667
jacobmonson	1	1	0.9826
bradclarmett	1	19	0.336221052632
Illisia	2	1	0.8172
MisterWonka	12	1	0.0
Rehem	1	2	0.0
StyleRug	1	2	0.8264
saraalees	1	1	0.0
microblading17	1	3	0.282633333333
jmoney213	1	1	0.8398
Vincentdizzou	1	5	0.61746
Stardust	9	3	0.0
zubairqazi	1	1	0.0
Crossposted	10	4	-0.163525
danielcrusto	1	1	0.0
ZanduVid	2	1	-0.1779
jackripper	10	10	0.66297
Merco	1	1	0.0
RPhil	1	4	0.18605
Gabbimonkey	1	1	0.7574
Swayfarer	1	1	0.0
jsnakib	1	1	0.7096
Southchirep	9	1	0.9956
srk72	1	1	0.0
readyflowers	1	1	0.8977
