mustafa-ugurlu	U	U	U	U	U	U	U	U
xenia-kalogeropoulou	Straight	Virgo	Greek Orthodox	Actress	Greek	U	White	81
perla-haney-jardine	Straight	Cancer	U	Actress	American	U	White	20
maria-verchenova	Straight	Aries	U	Golf	Russian	U	White	31
alvin-pearman	U	Leo	U	Football (American)	American	U	U	U
eric-searle	Straight	U	U	U	American	U	Asian	U
vashtie-kola	Straight	Taurus	U	Director	American	U	Black	36
ed-flanders	U	Capricorn	U	Actor	American	U	White	60
mandy-jiroux	Straight	Sagittarius	U	Dancer	American	U	White	29
berguzar-korel	Straight	Virgo	Muslim	Actress	Turkish	U	White	35
kym-karath	U	Virgo	U	Actress	American	U	White	59
tara-ebejer	U	U	U	U	Maltese	U	White	U
howard-hewett	Straight	Libra	U	Vocalist	American	U	Black	61
greta-hotmer	Straight	Cancer	U	Singer	U	U	White	35
ron-jaworski	U	Aries	U	Football (American)	American	U	White	66
corinne-bailey-rae	Straight	Pisces	U	Jazz Musician	English	U	Multiracial	38
l-q-jones	Straight	Leo	Methodist	Actor	American	U	White	90
jake-o-connell	U	Scorpio	U	Football (American)	American	U	U	U
steven-wilson	U	Scorpio	U	U	British	U	U	49
sean-hannity	Straight	Capricorn	Roman Catholic	TV Personality	American	U	White	55
andy-kaufman	Straight	Capricorn	Jewish	Actor	American	U	White	35
vince-young	Straight	Taurus	Christian	Football (American)	American	U	Black	34
scott-kamieniecki	U	Aries	U	Baseball	American	U	U	53
vanessa-marcil	Straight	Libra	Roman Catholic	Actress	American	U	Multiracial	48
frank-quilici	U	Taurus	U	Baseball	American	U	U	78
merry-christmas	U	U	U	Model (Adult/Glamour)	U	U	U	U
susan-oliver	Straight	Aquarius	Buddhist	Actress	American	U	White	58
andre-benoit	Straight	Capricorn	U	Ice Hockey	Canadian	U	White	33
donna-mills	Straight	Sagittarius	U	Actress	American	U	White	76
selena-weber	Straight	Scorpio	U	Model	American	U	White	U
beri-smither	Straight	Cancer	U	Model	American	U	White	46
claudia-sampedro	Straight	Scorpio	U	Model (Adult/Glamour)	Cuban	U	Multiracial	27
courtney-eckhart	Straight	Taurus	U	Cheerleader	American	U	White	27
lauren-chapin	U	Taurus	U	Actress	American	U	U	72
maria-botto	U	Aquarius	U	Actress	Argentinean	U	U	43
betty-blythe	Straight	Virgo	U	Actress	American	U	White	78
james-mccaffrey	U	Capricorn	U	Actor	American	U	White	57
sarp-apak	Straight	Scorpio	U	Actor	Turkish	U	Middle Eastern	35
colleen-haskell	Straight	Sagittarius	U	Actress	American	U	White	40
kula-diomand-4845084	U	U	U	U	U	U	U	U
katelynne-quinn	Straight	Gemini	Roman Catholic	Spouse	American	U	White	30
antonio-aguilar	Straight	Taurus	U	Actor	Mexican	U	White	88
ba-ar-savur	U	U	U	Business	Turkish	U	U	U
ninja-singh	U	U	U	Model	Indian	U	U	U
nicky-katt	Straight	Taurus	U	Actor	American	U	White	47
joe-mantell	U	Sagittarius	U	Actor	American	U	White	94
charlie-cowan	U	U	U	U	U	U	U	U
lola-glaudini	Straight	Sagittarius	U	Actress	American	U	White	45
robin-thicke	Straight	Pisces	U	Singer	American	U	White	40
gleb-matveychuk	U	Cancer	U	Actor	Russian	U	White	U
jeff-fulchino	U	Sagittarius	U	Baseball	American	U	U	37
josh-towers	U	Pisces	U	Baseball	American	U	U	40
aleksandra-grdi	Straight	Virgo	U	Model	Croatian	U	White	37
ock-joo-hyun	U	Pisces	U	Actress	South Korean	U	Asian	37
ferri-somogyi	U	Gemini	U	U	U	U	U	U
suzan-anbeh	U	Pisces	U	Actress	German	U	White	47
kwesi-boakye	U	Aries	U	Actor	American	U	Black	18
jessica-spangler	U	U	U	Model	U	U	White	U
ezequiel-astacio	U	Scorpio	U	Baseball	Dominican	U	U	37
daniella-monet	Straight	Pisces	U	Actress	American	U	White	28
oner-erkan	Straight	Capricorn	U	Actor	Turkish	U	White	37
derrick-deese	U	Taurus	U	Football (American)	American	U	U	47
martha-hunt	Straight	Taurus	U	Model	American	U	White	28
lou-cotton	U	U	U	U	U	U	U	U
hansi-knoteck	U	Pisces	U	Actress	Austrian	U	White	99
seamus-dever	Straight	Leo	U	Actor	American	U	White	41
lais-ribeiro	Straight	Libra	Roman Catholic	Model	Brazilian	U	Multiracial	26
bradley-sorenson	U	Aquarius	U	U	American	U	U	31
