jeromy-burnitz	Straight	Aries
everson-griffen	U	Capricorn
kirsty-gallacher	Straight	Capricorn
joan-osborne	Bisexual	Cancer
lauren-harris	U	Cancer
christina-masterson	U	Aries
faith-bacon	Straight	Cancer
david-bustamante	Straight	Gemini
inder-kumar-actor	U	U
ted-kluszewski	U	Virgo
crystal-mccahill	U	Sagittarius
eleni-menegaki	Straight	Scorpio
paulina-galvez-miss-international	Straight	U
patrick-breeding	U	Virgo
jenn-anh-nguyen	U	U
kathryn-morris	Straight	Aquarius
thomas-dekker	DISPUTED	Capricorn
arzum-onan	U	Scorpio
paloma-faith	Straight	Cancer
chris-chittell	Straight	Taurus
jason-reeves	Straight	Cancer
mitch-talbot	U	Libra
preston-sharp	Straight	U
marisa-del-frate	U	Pisces
joseph-tudisco	U	Leo
albert-finney	Straight	Taurus
victor-butler	U	Leo
willard-e-pugh	Straight	Gemini
missy-crider	U	Gemini
joseph-morgan	Straight	Taurus
phil-dubois	U	Scorpio
xue-fang-zhuang	U	Aries
dominique-rinderknecht	Straight	Cancer
john-stamos	Straight	Leo
curt-casali	U	Scorpio
victoria-maurette	U	Leo
clint-eastwood	Straight	Gemini
hiam-abbass	Straight	Sagittarius
roy-howell	U	Sagittarius
chris-kreider	U	Taurus
aimee-mullins	Straight	Cancer
daryl-hobbs	U	Gemini
jenny-ann-gerber	Straight	Scorpio
anthony-edwards	Straight	Cancer
hatsune-matsushima	U	U
kalena-rios	U	U
vanessa-martins	Straight	Taurus
zoilo-almonte	U	Gemini
viva-actress	U	Leo
luiza-brunet	Straight	Gemini
dikembe-mutombo	Straight	Cancer
anna-starshenbaum	Straight	Taurus
szandra-szilvassy	Straight	U
marilyn-hanold	U	Gemini
mathew-knowles	Straight	Capricorn
louis-hayward	Straight	Pisces
armando-iannucci	U	Sagittarius
patrick-rafter	Straight	Capricorn
felipe-de-borbon	Straight	Aquarius
ashley-hamby	U	U
daniela-martins	Straight	Aquarius
dick-kallman	U	Cancer
angell-conwell	U	Leo
alba-delgado	U	U
tessa-dee	U	U
brooke-lyons	U	Scorpio
malgorzata-foremniak	Straight	Capricorn
larry-chester	U	Libra
reggie-garrett	U	Scorpio
robert-wolders	Straight	Libra
earl-cochran	U	Aries
jade-thompson	U	Aquarius
yuhi-kurenai	Straight	Gemini
kim-kardashian-west	Straight	Libra
seda-bakan	Straight	Libra
danny-mcbride-comedian	Straight	Capricorn
rodney-scott	U	Aquarius
anton-narinskiy	U	U
jeff-grotewold	U	Sagittarius
adrien-clarke	U	Aries
manoela-alves	Straight	Sagittarius
geraldine-dulex	U	U
marita-geraghty	Straight	Aries
marina-neyolova	Straight	Capricorn
billy-moran	U	Sagittarius
michael-sembello	U	Aries
mike-myers-baseball	U	Cancer
lisa-whelchel	Straight	Gemini
belinda-montgomery	Straight	Cancer
lotta-hintsa	Straight	U
eldridge-recasner	U	Sagittarius
silvia-cornejo	U	Capricorn
jay-blackton-born-1994	U	Aries
dolores-o-riordan	Straight	Virgo
mari-possa	U	Aquarius
tyson-houseman	U	Aquarius
minerva-casero	U	Taurus
brooke-livesey	Straight	U
keleigh-sperry	Straight	Libra
maritza-murray	U	U
ayana-sakai	U	Taurus
joel-grey	Gay	Aries
leon-mcquay	U	Pisces
kirsten-vangsness	Bisexual	Cancer
john-delorean	Straight	Capricorn
eddie-kendricks	Straight	Sagittarius
donald-trump	Straight	Gemini
cecil-fielder	Straight	Virgo
brian-littrell	Straight	Pisces
suzi-perry	Straight	Taurus
scott-elbert	U	Leo
reginald-veljohnson	Straight	Leo
kari-byron	Straight	Sagittarius
warren-demartini	Straight	Aries
adriana-tarud	Straight	Virgo
rachael-ray	Straight	Virgo
eric-guillemain	U	U
clint-ritchie	U	Leo
walt-weiss	U	Sagittarius
jawed-karim	Straight	Capricorn
aaron-small	U	Sagittarius
monica-castillo	Straight	Leo
anita-wood	Straight	U
hunter-hillenmeyer	U	Scorpio
ronn-moss	Straight	Pisces
felix-da-housecat	U	Virgo
georgie-parker	Straight	Sagittarius
bob-harper	Gay	Leo
michael-brantley	U	Taurus
chemda-khalili	U	Sagittarius
byron-lawson	Straight	Virgo
rock-hudson	Gay	Scorpio
zach-mcallister	U	Sagittarius
skylar-laine	U	Aquarius
john-inman	Gay	Cancer
nikki-reed	Straight	Taurus
gwen-lu	Straight	U
lorraine-lewis	Straight	Libra
cecile-sinclair	U	Pisces
michaela-ochotska-149817	U	U
valeria-ciangottini	U	Leo
nevena-dujmovic	Straight	Aries
clea-lewis	U	Cancer
ona-munson	Bisexual	Gemini
jose-mijares	U	Scorpio
dani-lennon	U	U
jenny-agutter	Straight	Sagittarius
ben-kweller	U	Gemini
shann-schillinger	U	Gemini
antonio-london	U	Aries
john-neville	Straight	Taurus
ricky-rubio	Straight	Libra
selma-ergec	Straight	Scorpio
tania-mehra	U	U
jennifer-lynn-warren	U	Capricorn
armida	Straight	Gemini
ty-detmer	U	Scorpio
diana-stevenson	U	U
lyle-west	U	Sagittarius
majida-issa	Straight	Cancer
ed-helms	U	Aquarius
phyllis-hyman	Bisexual	Cancer
anne-sophie-monrad	U	U
don-mcneal	U	Taurus
anthony-desclafani	U	Aries
ioanna-mpouki	Straight	U
annabeth-gish	Straight	Pisces
sandra-day-o-connor	Straight	Aries
andrew-wood	Straight	Capricorn
del-tha-funkee-homosapien	U	Leo
erdal-ozyagcilar	Straight	U
brittanya-o-campo	Bisexual	Gemini
karl-geary	Straight	Gemini
junot-diaz	Straight	Capricorn
nick-heidfeld	Straight	Taurus
michael-conforto	U	Pisces
alex-beh	U	U
brooke-bezanson	U	U
derek-ramsay	Straight	Sagittarius
steve-kreider	U	Taurus
tallia-storm	Straight	Scorpio
sarah-nile	U	Libra
haley-pullos	Straight	Cancer
heather-ashley-chase	Straight	Aries
dawn-hudson	U	U
peter-carpenter	U	U
mariana-bayon	Straight	Aquarius
willie-mcclendon	U	Virgo
michael-deluise	Straight	Leo
eric-gagne	Straight	Capricorn
bobby-cassevah	U	Virgo
lena-ashikhmina	Straight	U
jerry-stiller	Straight	Gemini
dyan-o-connor	Straight	Cancer
arthur-whittington	U	Virgo
cole-aldrich	U	Scorpio
erich-bergen	U	Capricorn
todd-self	U	Scorpio
willie-parker	Straight	Scorpio
t-j-holmes	U	Leo
colin-petersen	Straight	Aries
andrew-lloyd-webber	Straight	Aries
iekeliene-stange	Straight	Leo
rick-aguilera	U	Capricorn
willis-bouchey	U	Gemini
tommy-everidge	U	Aries
chris-perez	Straight	Leo
tony-jerod-eddie	Straight	Aries
eric-ladin	Straight	Aquarius
tom-fletcher	Straight	Cancer
debbie-trejo	Straight	U
patricia-richardson	Straight	Pisces
lacey-lynn	U	U
tim-hardaway	U	Virgo
rupert-sanders	Straight	Pisces
baris-kilic	Straight	Cancer
kathryn-hahn	Straight	Cancer
gulben-ergen	Straight	Virgo
kevin-nealon	Straight	Scorpio
john-habyan	U	Aquarius
erica-rosen	U	U
erika-de-la-vega	Straight	Pisces
john-robinson	U	Scorpio
randy-choate	Straight	Virgo
branislava-mandic	U	Leo
jessica-rothenberg	U	U
ruth-st-denis	Straight	Capricorn
tereza-kerndlova	U	Libra
jii-welsch	Straight	Aquarius
jordan-nagai	Straight	Aquarius
amanda-fuller	Straight	Virgo
anita-sanders	U	Aries
german-paoloski	Straight	Gemini
joan-smalls	Straight	Cancer
aleksandra-zhivova	U	Scorpio
april-rose-pengilly	Straight	Aries
antoni-corone	U	U
daniel-howell	Bisexual	Gemini
michael-modano	Straight	Gemini
bryan-fisher	Straight	Cancer
priscila-munhoz	Straight	Gemini
editha-dussler	U	U
samantha-smith	Straight	Scorpio
charlotte-hoyer	Straight	Cancer
rusty-staub	U	Aries
jody-latham	Straight	Capricorn
dj-ruckus	Straight	Libra
krystyna-konarska	U	Pisces
sara-montiel	Straight	Pisces
murat-dalkilic	Straight	Leo
vinnie-paul	Straight	Pisces
zuzanna-buchwald	Straight	Scorpio
joan-sims	U	Taurus
liliane-ferrarezi	Straight	Cancer
flex-alexander	Straight	Aries
zoya-berber	U	Virgo
edward-andrews	Straight	Libra
amber-midthunder	Straight	Pisces
sergei-stolyarov	Straight	Scorpio
eric-soderholm	U	Libra
ben-easter	U	Taurus
curtis-lofton	U	Gemini
chloe-annett	U	Leo
ken-dodd	U	Scorpio
kendall-graveman	U	Sagittarius
karen-allen	Straight	Libra
denzel-whitaker	Straight	Gemini
ashley-fink	U	Scorpio
heather-peace	Lesbian	Gemini
william-gholston	U	Leo
mike-lookinland	Straight	Sagittarius
jonathan-elias	Straight	U
emily-deyoung	U	U
david-fisher-actor	U	U
paris-hilton	Straight	Aquarius
cameron-daddo	U	Pisces
christine-belford	Straight	Capricorn
sophie-holmes	Straight	Taurus
erika-page-white	Straight	Virgo
liz-uy	Straight	Aquarius
karen-hafter	Straight	Capricorn
carrie-henn	Straight	Taurus
jennifer-delaeo	U	U
pascal-dupuis	U	Aries
robin-baum	Straight	U
mehmet-ali-nuroglu	Straight	Virgo
darold-knowles	U	Sagittarius
emma-fletcher	U	U
bruno-gioiello	U	Scorpio
james-shields	U	Sagittarius
roberta-mancino-model	U	Leo
naturi-naughton	Straight	Taurus
deborah-lambie	U	U
joakim-nordstrom	Straight	Pisces
roxanne-ingram	U	U
shaun-toub	U	U
kim-novak	Straight	Aquarius
nan-zhang	U	Scorpio
samuel-dalembert	Straight	Taurus
devon-murray	Straight	Scorpio
kateryna-zakharchenko	U	U
sascha-ring	U	Cancer
bitten-knudsen	U	U
matt-tennant	U	Pisces
bryce-salvador	Straight	Aquarius
elena-ksenofontova	Straight	Sagittarius
jenny-o-hara	Straight	Aquarius
jackie-jandrell	U	U
byron-morrow	U	Virgo
mike-ribeiro	Straight	Aquarius
karla-gracie	Straight	U
michael-crichton	Straight	Scorpio
wes-anderson	Straight	Taurus
ros-georgiou	Straight	Taurus
edgar-bronfman-jr	Straight	Taurus
marie-de-narde	Straight	U
jerry-cantrell	Straight	Pisces
chester-morris	Straight	Aquarius
air-bud-24816243	U	U
jane-harker	U	Leo
mimi-kuzyk	U	Aquarius
wyclef-jean	Straight	Libra
cortland-finnegan	Straight	Aquarius
david-patrick-kelly	Straight	Aquarius
stella-charalambidi	Straight	U
tatiana-gil	U	U
hilary-greer	U	U
kathy-bates	Straight	Cancer
dusty-anderson	Straight	Sagittarius
maria-elena-marques	Straight	Sagittarius
elizabeth-june	U	U
nataliya-gotsiy	Straight	Cancer
mirko-filipovi	Straight	Virgo
mark-ballas	Straight	Gemini
lindsay-doty	Straight	Aries
yumara-lopez	Straight	U
jack-la-rue	Straight	Taurus
leroy-hoard	U	Taurus
alan-ameche	Straight	Pisces
ryan-rowland-smith	U	Aquarius
joel-rinne	U	Gemini
garwin-sanford	Straight	Pisces
lizabeth-scott	DISPUTED	Libra
ana-patricia-rojo	Straight	Aquarius
sulli-choi	Straight	Aries
imogen-poots	DISPUTED	Gemini
paul-williams	Straight	Virgo
charlie-kristine	U	U
jacqueline-hill	Straight	Sagittarius
del-crandall	U	Pisces
pete-yorn	Straight	Leo
laura-goodwin	Straight	U
billy-joe-hobert	U	Capricorn
georgie-gardiner	U	Gemini
alexander-the-great	Bisexual	Cancer
viktoriya-nimets	U	U
jhonatan-solano	U	Leo
nicole-turley	U	Aquarius
lone-hertz	Straight	Taurus
georgie-glen	Straight	Aries
lisa-bonet	Straight	Scorpio
brandy-grace	Straight	Aquarius
francine-larrimore	Straight	Leo
frank-minnifield	U	Capricorn
esperanza-gomez	Straight	Taurus
bobby-thigpen	U	Cancer
nancy-parsons	Straight	Capricorn
