marina-rebeka-33726339	U	U	U	Singer	Latvian	U	White	U
marcos-carvajal	U	Leo	U	Baseball	Venezuelan	U	U	U
claudia-raia	Straight	Capricorn	Buddhist	Actress	Brazilian	U	White	50
tyler-eifert	U	Virgo	U	Football (American)	U	U	U	U
ruchan-caliskur	U	U	U	U	U	U	U	U
fernanda-gallardo	Straight	U	U	TV Personality	Ecuadorean	U	Multiracial	U
barbara-read	U	Capricorn	U	Actress	Canadian	U	White	45
elle-varner	Straight	Aquarius	U	Singer	American	U	Multiracial	28
joe-armstrong	Straight	Libra	Christian	Actor	English	U	White	38
eva-ruttkai	Straight	Capricorn	U	Actress	Hungarian	U	White	58
estefani-espin	U	Cancer	U	Journalist	Ecuadorean	U	Multiracial	U
charlie-brooks	Straight	Taurus	U	Actress	Welsh	U	White	36
sarah-maria-besgen	U	Leo	U	U	U	U	U	U
vitaly-potapenko	U	Aries	U	Basketball	Ukrainian	U	U	42
jameel-mcclain	U	Leo	U	Football (American)	American	U	U	U
brandon-sutter	Straight	Aquarius	U	Ice Hockey	American	U	White	28
johnny-oduya	Straight	Libra	U	Ice Hockey	Swedish	U	Multiracial	35
dwight-harrison	U	Libra	U	Football (American)	American	U	U	U
kathy-lette	U	Scorpio	U	Writer	Australian	U	U	58
jack-tweed	Straight	Gemini	U	Reality TV	British	U	White	30
anita-mui	U	Libra	U	Actress	Chinese	U	Asian	40
randy-moss	Straight	Aquarius	U	Football (American)	American	U	Black	40
nils-bue	Bisexual	Capricorn	U	Musician	U	U	White	32
mardy-fish	Straight	Sagittarius	U	Sports Star	American	U	White	35
sacha-parkinson	U	Pisces	U	Actress	British	U	White	25
pat-summitt	Straight	Gemini	U	Basketball	American	U	White	64
erdil-yasaroglu	U	Scorpio	U	Cartoonist	Turkish	U	U	45
elena-bsescu	U	Taurus	U	Model	Romanian	U	U	37
butch-woolfolk	U	Pisces	U	Football (American)	American	U	U	U
yessica-mouton	U	U	U	Model	Bolivian	U	Multiracial	U
agnieszka-cegielska	U	U	U	U	U	U	U	U
alicja-gesciak	U	U	U	Model	U	U	White	U
janessa-brazil	Bisexual	Aquarius	U	Pornstar	Brazilian	U	Multiracial	31
mhadere-tigabe	U	U	U	U	U	U	U	U
j-c-wilson	U	Pisces	U	Football (American)	American	U	U	U
natalie-mendoza	Straight	Leo	U	Actress	Australian	U	Multiracial	39
mark-frechette	Straight	Sagittarius	Cult	Actor	American	U	White	27
keith-traylor	U	Virgo	U	Football (American)	American	U	U	U
dwight-howard	Straight	Sagittarius	Christian	Basketball	American	U	Black	31
monika-absolonova	U	Libra	U	Singer	Czech	U	White	U
herb-lusk	U	Aquarius	U	U	American	U	U	U
tony-darrow	Straight	Capricorn	U	Actor	American	U	White	78
raquel-tejedor	Straight	U	Roman Catholic	Model	Spanish	U	White	U
brian-posehn	Straight	Cancer	Other	Comic	American	U	White	51
christine-baranski	Straight	Taurus	U	Actress	American	U	White	65
anthony-roberson	U	Aquarius	U	Basketball	American	U	U	U
moises-alou	Straight	Cancer	U	Baseball	American	U	Black	51
patricia-knight	Straight	Taurus	U	Actress	American	U	White	89
cole-plante	U	U	U	U	U	U	U	U
georgia-salpa	U	Taurus	U	Model (Adult/Glamour)	Irish	U	White	32
tyson-houseman	U	Aquarius	U	Actor	American	U	Multiracial	27
gordon-parks	Straight	Sagittarius	U	Photographer	American	U	Black	93
nenad-bach	Straight	U	U	Composer	Croatian	U	White	U
sidney-ponson	U	Scorpio	U	Baseball	U	U	U	40
darius-rucker	Straight	Taurus	Other	Country Musician	American	U	Black	51
tatyana-lyannik	U	Sagittarius	U	Actress	Russian	U	White	36
carla-diaz	U	Sagittarius	U	Actress	Brazilian	U	White	26
natalie-lisinska	Straight	Capricorn	U	Actress	Canadian	U	White	35
sophie-lie	Straight	Gemini	U	Model	Norwegian	U	White	29
rianna-ponting	U	U	U	U	U	U	U	U
j-santiago	U	U	U	Actor	American	U	Multiracial	U
jeremy-hefner	U	Taurus	U	Baseball	U	U	U	U
philippe-marcade	U	U	U	Singer	French	U	White	U
amanda-marcum	Straight	Aries	U	Model	American	U	White	41
jason-hawes	Straight	Capricorn	U	TV Personality	American	U	White	45
jason-schombing	Straight	Aries	U	Actor	American	U	White	54
derek-ramsay	Straight	Sagittarius	Roman Catholic	Actor	Filipino	U	Multiracial	37
gary-clarke	U	Leo	U	Actor	American	U	U	81
doug-decinces	Straight	Virgo	U	Baseball	American	U	White	67
denise-crosby	Straight	Sagittarius	U	Actress	American	U	White	59
jeff-rutledge	U	Aquarius	U	Football (American)	American	U	U	60
nikki-sjoberg	Straight	U	U	Singer	Canadian	U	White	U
mary-doran	Straight	Virgo	U	Actress	American	U	White	84
matt-schobel	U	Scorpio	U	Football (American)	American	U	U	U
christine-r-2869552	U	U	U	U	U	U	U	U
marie-dubois	Straight	Capricorn	Roman Catholic	Actress	French	U	White	77
taisia-povaliy	U	Sagittarius	Eastern Orthodox	Singer	Ukrainian	U	White	51
ingrid-martz	Straight	Virgo	U	Actress	Mexican	U	White	38
juliette-mayniel	Straight	Aquarius	U	Actress	French	U	White	81
nicholas-lyndhurst	Straight	Aries	U	Actor	British	U	White	56
rachel-feinstein-sculptor	U	Gemini	U	Artist	American	U	U	U
sheena-lee	U	Capricorn	U	Model (Adult/Glamour)	American	U	Multiracial	34
dolph-sweet	Straight	Cancer	U	Actor	American	U	White	64
odell-thurman	U	Cancer	U	Football (American)	American	U	U	U
rajneesh-duggal	Straight	Scorpio	U	Model	Indian	U	Asian/Indian	37
irene-tunc	U	Libra	U	Actress	French	U	White	36
ecija-ivusi	Straight	U	U	TV Personality	Croatian	U	White	U
june-harding	U	Virgo	U	Actor	American	U	U	77
mia-stass	Straight	U	U	Model	Swedish	U	White	U
monica-cervera	Straight	Gemini	U	Actress	Spanish	U	White	42
dina-merrill	Straight	Sagittarius	U	Actress	American	U	White	91
murray-rose	U	Capricorn	U	Swimming	Australian	U	U	73
david-millbern	Straight	Libra	U	Actor	American	U	White	50
elizabeth-loaiza	Straight	Capricorn	U	Model (Adult/Glamour)	Colombian	U	White	28
zulay-henao	Straight	Gemini	U	Actress	American	U	Multiracial	38
phil-villapiano	U	Pisces	U	Football (American)	American	U	U	68
jevon-kearse	U	Virgo	U	Football (American)	American	U	Black	41
norval-morrisseau	Straight	Pisces	U	Artist	Canadian	U	OTHER	U
alan-ferguson	Straight	Leo	U	Director	American	U	Black	54
tad-hilgenbrink	Straight	Libra	U	Actor	American	U	White	35
kevin-baird	U	U	U	U	U	U	U	U
alan-moore	Straight	Scorpio	U	Writer	British	U	White	63
marly-van-der-velden	U	Capricorn	U	Actor	Dutch	U	White	29
veronica-lozano	Straight	Gemini	U	TV Personality	Argentinean	U	White	47
krzysztof-oliwa	Straight	Aries	U	Ice Hockey	Polish	U	White	U
glen-rice	Straight	Gemini	U	Basketball	American	U	Black	50
dylan-baker	Straight	Libra	U	Actor	American	U	White	57
lee-sharpe	Straight	Gemini	U	Football	British	U	White	46
danny-moskos	U	Taurus	U	Baseball	American	U	U	U
ethan-albright	U	Taurus	U	Football (American)	American	U	U	U
bounty-killer	U	Aquarius	U	U	Jamaican	U	U	61
dorothy-mcguire	Straight	Gemini	U	Actress	American	U	White	85
jessie-clark	Straight	Capricorn	U	Football (American)	American	U	White	U
leila-nda	Straight	U	U	Model	Belgian	U	Black	U
alexis-phifer	Straight	Aquarius	U	Fashion Designer	American	U	Black	47
