barbara-sarafian	U	U	U	U	U	U	U	U
c-c-sabathia	Straight	Cancer	U	Baseball	American	U	Black	37
jeff-probst	Straight	Scorpio	U	Game Show Host	American	U	White	55
kevin-ryan	Straight	Gemini	Christian	Actor	Irish	U	White	33
johannah-newmarch	U	U	U	U	U	U	U	U
dafne-fernandez	Straight	Aries	U	Actress	Spanish	U	White	32
nicole-arianna-fox	U	Pisces	U	Model	American	U	White	26
max-benitz	U	Pisces	U	Actor	English	U	White	32
andrew-koenig	Straight	Leo	Jewish	Actor	American	U	White	41
curtis-granderson	Straight	Pisces	U	Baseball	American	U	Black	36
doriana-sousa	U	U	U	Model (Adult/Glamour)	U	U	U	U
phil-collins	Straight	Aquarius	U	Singer	English	U	White	66
jeff-bagwell	U	Gemini	U	Baseball	American	U	U	49
angela-wargo	Straight	U	U	U	U	U	White	U
elizabeth-lopez	U	U	U	U	U	U	U	U
rizwan-manji	U	Libra	Muslim	Actor	Canadian	U	Asian/Indian	42
dale-earnhardt-jr	Straight	Libra	Christian	Auto Racing	American	U	White	42
marley-shelton	Straight	Aries	U	Actress	American	U	White	43
kathy-diamond	U	U	U	Singer	English	U	U	U
tatjana-simic	Straight	Gemini	Roman Catholic	Actress	Croatian	U	White	54
gitte-hanspal	U	U	U	Model	Danish	U	U	U
jonathan-cyprien	U	Leo	U	Football (American)	U	U	U	U
nick-schultz	U	Virgo	U	Ice Hockey	Canadian	U	U	U
filipp-kirkorov	DISPUTED	Taurus	Russian Orthodox	Singer	Bulgarian	U	White	50
ender-sakalli	U	U	U	U	U	U	U	U
ghedi-lonnberg	U	Taurus	U	Actress	Finnish	U	White	U
amy-sedaris	U	Aries	U	Actress	American	U	White	56
jasmine-adele-schley	U	U	U	Actress	U	U	White	U
jolene-brand	U	Leo	U	Actress	American	U	U	83
anna-szeles	U	Virgo	U	Actress	Romanian	U	White	75
aleksandr-pivovarov	Straight	Aquarius	U	Model	Russian	U	White	0
jacques-villeret	Straight	Aquarius	U	Actor	French	U	White	53
quinn-gray	U	Taurus	U	Football (American)	American	U	U	38
jeremie-renier	Straight	Capricorn	U	Actor	Belgian	U	White	36
wesley-snipes	Straight	Leo	U	Actor	American	U	Black	55
top-30-italian-girls	U	U	U	Model (Adult/Glamour)	U	U	U	U
lavar-arrington	U	Gemini	U	Football (American)	American	U	U	39
elle-liberachi	Straight	Pisces	U	Model	English	U	White	31
elysha-lee	U	U	U	Model (Adult/Glamour)	U	U	U	U
yoon-bora	Straight	Aquarius	Roman Catholic	Entertainer	South Korean	U	Asian	27
luz-elena-gonzalez	Straight	Leo	U	Actress	Mexican	U	White	47
sarah-lancaster	Straight	Aquarius	U	Actress	American	U	White	37
nico-tortorella	Bisexual	Leo	U	Actor	American	U	White	29
caitlin-rose-7261262	U	U	U	Actress	U	U	White	U
ruben-patterson	U	Leo	U	Basketball	American	U	U	42
marq-torien	Straight	Virgo	U	Singer	American	U	White	54
robert-alda	Straight	Pisces	U	Actor	American	U	White	72
elyse-taylor	Straight	Libra	U	Model	Australian	U	White	30
trayvon-martin	Straight	Aquarius	U	Student	American	U	Black	17
patrick-mouratoglou	Straight	Gemini	U	Tennis	French	U	White	47
marin-mazzie	Straight	Libra	U	Actress	American	U	White	56
jitka-jezkova	U	Gemini	U	Actress	Czech	U	White	U
tyler-clutts	U	Scorpio	U	Football (American)	U	U	U	U
russell-thompkins	U	Aries	U	Singer	American	U	Black	66
gabriela-gorden	U	U	U	Model (Adult/Glamour)	U	U	U	U
betty-balfour	Straight	Aries	U	Actress	British	U	White	74
tim-phillipps	Straight	Aquarius	U	Actor	Australian	U	White	28
jim-walewander	U	Taurus	U	Baseball	American	U	U	U
guy-fieri	Straight	Aquarius	U	Chef	American	U	White	49
christine-bently	U	U	U	U	U	U	White	U
mike-pagel	U	Virgo	U	Football (American)	American	U	U	57
valentina-reggio	U	U	U	Actress	Italian	U	White	U
reka-ebergenyi	Straight	Cancer	Christian	Model	Hungarian	U	White	36
samuli-ponsimaa	U	Virgo	U	Musician	Finnish	U	White	40
anne-jeffreys	Straight	Aquarius	U	Actress	American	U	White	94
razzle	U	Sagittarius	U	Drummer	Finnish	U	White	24
danny-pardo	Straight	Scorpio	U	Actor	Argentinean	U	White	U
justine-cotsonas	U	Gemini	U	Actress	American	U	White	32
reiko-aylesworth	Straight	Sagittarius	U	Actress	American	U	Multiracial	44
misa-hylton-brim	Straight	Capricorn	Christian	Designer	American	U	Multiracial	40
paul-brinegar	U	Sagittarius	U	Actor	American	U	White	77
mireille-mathieu	Straight	Cancer	U	Musician	French	U	White	71
helena-karel	U	Capricorn	U	Model	French	U	White	37
kathie-browne	Straight	Virgo	U	Actress	American	U	White	72
faith-evans	Bisexual	Gemini	Christian	Singer	American	U	Multiracial	44
eva-doll	Straight	U	U	Model	Czech	U	White	U
marie-fredriksson	Straight	Gemini	Roman Catholic	Singer	Swedish	U	White	59
gudula-blau	U	Pisces	U	Actress	German	U	White	U
juliana-gontijo	Straight	U	U	U	Brazilian	U	White	U
clare-fiona	U	U	U	Model (Adult/Glamour)	U	U	U	U
norm-lewis	U	Gemini	U	Performance Artist	American	U	Black	54
hanka-bielicka	U	Scorpio	U	U	Polish	U	U	90
christian-bruckner	U	Scorpio	U	Actor	German	U	White	73
nick-fairley	U	Aquarius	U	U	U	U	U	29
maurice-jarre	Straight	Virgo	U	Composer	French	U	White	84
